Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Router1,8.8.8.8,31.471,0.0,2026-05-02 13:30:16
Localhost,127.0.0.1,0.551462,0.0,2026-05-02 13:30:16
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:30:13
Cloudflare DNS,1.1.1.1,42.9106,0.0,2026-05-02 13:29:56
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:29:53
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:29:46
Google DNS,8.8.8.8,30.3926,0.0,2026-05-02 13:29:39
Local Machine,127.0.0.1,0.392914,0.0,2026-05-02 13:29:39
Router1,8.8.8.8,56.7543,0.0,2026-05-02 13:29:36
Localhost,127.0.0.1,0.520945,0.0,2026-05-02 13:29:36
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:29:33
Cloudflare DNS,1.1.1.1,269.34,0.0,2026-05-02 13:29:15
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:29:12
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:29:05
Google DNS,8.8.8.8,50.9491,0.0,2026-05-02 13:28:58
Local Machine,127.0.0.1,0.408173,0.0,2026-05-02 13:28:58
Router1,8.8.8.8,34.3416,0.0,2026-05-02 13:28:55
Localhost,127.0.0.1,0.567675,0.0,2026-05-02 13:28:55
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:28:51
Cloudflare DNS,1.1.1.1,32.6703,0.0,2026-05-02 13:28:34
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:28:31
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:28:24
Google DNS,8.8.8.8,34.7648,0.0,2026-05-02 13:28:17
Local Machine,127.0.0.1,0.42367,0.0,2026-05-02 13:28:17
Router1,8.8.8.8,31.4071,0.0,2026-05-02 13:28:14
Localhost,127.0.0.1,0.400782,0.0,2026-05-02 13:28:14
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:28:11
Cloudflare DNS,1.1.1.1,55.0628,0.0,2026-05-02 13:27:54
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:27:51
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:27:44
Google DNS,8.8.8.8,39.3264,0.0,2026-05-02 13:27:36
Local Machine,127.0.0.1,0.486374,0.0,2026-05-02 13:27:36
Router1,8.8.8.8,50.2281,0.0,2026-05-02 13:27:33
Localhost,127.0.0.1,0.404835,0.0,2026-05-02 13:27:33
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:27:30
Cloudflare DNS,1.1.1.1,33.3281,0.0,2026-05-02 13:27:13
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:27:10
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:27:03
Google DNS,8.8.8.8,34.7908,0.0,2026-05-02 13:26:56
Local Machine,127.0.0.1,0.365257,0.0,2026-05-02 13:26:56
Router1,8.8.8.8,39.9423,0.0,2026-05-02 13:26:53
Localhost,127.0.0.1,0.601053,0.0,2026-05-02 13:26:53
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:26:49
Cloudflare DNS,1.1.1.1,36.2861,0.0,2026-05-02 13:26:32
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:26:29
